NO_SEQ_COLL,JR_SEMN_ACCDN,DT_ACCDN,CD_MUNCP,NO_CIVIQ_ACCDN,SFX_NO_CIVIQ_ACCDN,BORNE_KM_ACCDN,RUE_ACCDN,TP_REPRR_ACCDN,ACCDN_PRES_DE,NB_METRE_DIST_ACCD,CD_GENRE_ACCDN,CD_SIT_PRTCE_ACCDN,CD_ETAT_SURFC,CD_ECLRM,CD_ENVRN_ACCDN,NO_ROUTE,CD_CATEG_ROUTE,CD_ETAT_CHASS,CD_ASPCT_ROUTE,CD_LOCLN_ACCDN,CD_POSI_ACCDN,CD_CONFG_ROUTE,CD_ZON_TRAVX_ROUTR,CD_PNT_CDRNL_ROUTE,CD_PNT_CDRNL_REPRR,CD_COND_METEO,NB_VEH_IMPLIQUES_ACCDN,NB_MORTS,NB_BLESSES_GRAVES,NB_BLESSES_LEGERS,HEURE_ACCDN,AN,NB_VICTIMES_TOTAL,GRAVITE,REG_ADM,MRC,nb_automobile_camion_leger,nb_camionLourd_tractRoutier,nb_outil_equipement,nb_tous_autobus_minibus,nb_bicyclette,nb_cyclomoteur,nb_motocyclette,nb_taxi,nb_urgence,nb_motoneige,nb_VHR,nb_autres_types,nb_veh_non_precise,NB_DECES_PIETON,NB_BLESSES_PIETON,NB_VICTIMES_PIETON,NB_DECES_MOTO,NB_BLESSES_MOTO,NB_VICTIMES_MOTO,NB_DECES_VELO,NB_BLESSES_VELO,NB_VICTIMES_VELO,VITESSE_AUTOR,LOC_X,LOC_Y,LOC_COTE_QD,LOC_COTE_PD,LOC_DETACHEE,LOC_IMPRECISION,LOC_LAT,LOC_LONG
SPVM _ 2016 _ 18509,LU,2016/05/16,66023.0,,,,,1.0,ST ZOTIQUE E ET 36E AV,,31.0,,11.0,1.0,2.0,,13.0,1.0,11.0,32.0,6.0,2.0,,,,11.0,2,0,0,1,06:00:00-06:59:00,2016,1,Léger,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,298822.4,5047979.075,A,1,N,N,45.5717,-73.57659
SPVM _ 2018 _ 105,VE,2018/03/16,66023.0,,,,,1.0,BD ST JEAN ET BD PIERREFONDS,,,,11.0,1.0,3.0,,13.0,,11.0,32.0,,3.0,,,,11.0,2,0,0,0,16:00:00-16:59:00,2018,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,277290.425,5039165.089,A,1,N,N,45.49187,-73.85196
SPVM _ 2013 _ 13628,SA,2013/09/07,66023.0,,,,PAPINEAU,1.0,LAFONTAINE,20.0,31.0,,11.0,1.0,7.0,,13.0,,21.0,33.0,,1.0,,,E,12.0,3,0,0,0,15:00:00-15:59:00,2013,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,300406.379,5042731.981,A,1,N,N,45.52449,-73.55624
SPVM _ 2014 _ 15822,LU,2014/12/01,66023.0,,,,ST JOSEPH,1.0,HOTEL DE VILLE,,31.0,,11.0,3.0,2.0,,13.0,,11.0,32.0,,2.0,,,,11.0,2,0,0,0,16:00:00-16:59:00,2014,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,297812.4,5042725.807,A,1,N,N,45.52442,-73.58945
SPVM _ 2012 _ 6659,JE,2012/10/25,66023.0,,,,DE MAISONNEUVE,1.0,BEACONSFIELD,50.0,33.0,,11.0,1.0,3.0,,13.0,,11.0,33.0,,1.0,,,,11.0,2,0,0,0,08:00:00-08:59:00,2012,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,295491.394,5036212.074,A,2,N,N,45.46577,-73.61904
SPVM _ 2014 _ 6540,MA,2014/09/16,66023.0,,,,HICKSON,1.0,WELLINGTON,,31.0,,12.0,2.0,,,14.0,1.0,11.0,32.0,,2.0,,,,14.0,2,0,0,2,06:00:00-06:59:00,2014,2,Léger,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,299574.8,5036110.0,A,1,N,N,45.4649,-73.56682
SPVM _ 2018 _ 1638,SA,2018/02/10,66023.0,467.0,,,DECARIE,,,,31.0,,16.0,1.0,2.0,,13.0,,11.0,34.0,,3.0,,,,17.0,5,0,0,0,15:00:00-15:59:00,2018,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,291214.88075,5040988.334,A,1,N,N,45.50868,-73.67386
SPVM _ 2016 _ 20735,ME,2016/12/07,66023.0,8390.0,,,HOCHELAGA,2.0,FACE,,31.0,,11.0,2.0,2.0,,13.0,,11.0,32.0,,3.0,,,,11.0,2,0,0,0,15:00:00-15:59:00,2016,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,303075.49699,5050846.7671,A,2,N,N,45.59752,-73.5221
SPVM _ 2012 _ 7851,DI,2012/05/06,66023.0,7125.0,,,NEWMAN,,,,,,11.0,1.0,3.0,,21.0,,11.0,40.0,,9.0,,,,11.0,2,0,0,0,Non précisé,2012,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,295740.37403,5033711.1903,A,1,O,N,45.44327,-73.61581
SPVM _ 2012 _ 12202,MA,2012/05/08,66023.0,,,,STE CATHERINE,,DE BULLION,,31.0,,12.0,3.0,3.0,,13.0,,11.0,33.0,,1.0,,,,12.0,2,0,0,0,19:00:00-19:59:00,2012,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,299901.32,5041249.074,A,1,N,N,45.51114,-73.5627
SPVM _ 2015 _ 5817,LU,2015/06/01,66023.0,,,,STE EMILIE,1.0,ROSE DE LIMA,5.0,31.0,,11.0,1.0,2.0,,14.0,,11.0,32.0,,1.0,,,O,11.0,2,0,0,0,12:00:00-12:59:00,2015,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,298618.9,5037681.958,A,1,N,N,45.47904,-73.57906
SPVM _ 2016 _ 11354,MA,2016/10/04,66023.0,2700.0,,,AV KENT,,,,31.0,,11.0,2.0,2.0,,14.0,,11.0,99.0,,2.0,,,,11.0,2,0,0,0,21:00:00-21:59:00,2016,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,294947.734,5041092.7594,A,1,O,N,45.50969,-73.62609
SPVM _ 2017 _ 18669,JE,2017/03/09,66023.0,3185.0,,,BEAUBIEN,1.0,PRES 10E AV,,49.0,,11.0,3.0,3.0,,21.0,1.0,11.0,,,,,,,11.0,1,0,0,0,18:00:00-18:59:00,2017,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,298017.279,5046053.512,A,1,O,N,45.55436,-73.58687
SPVM _ 2012 _ 27577,SA,2012/11/03,66023.0,2925.0,,,RACHEL,,,,,,,1.0,3.0,,21.0,,,40.0,,,,,,,2,0,0,0,Non précisé,2012,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,299998.95299,5044901.7105,A,1,O,N,45.54401,-73.56148
SPVM _ 2018 _ 14697,JE,2018/07/19,66023.0,6260.0,,,ST HUBERT,,,,31.0,,11.0,3.0,3.0,,13.0,,11.0,33.0,,1.0,,,,11.0,2,0,0,0,Non précisé,2018,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,296932.90374,5043910.4517,A,1,N,N,45.53507,-73.60073
SPVM _ 2017 _ 14368,VE,2017/04/14,66023.0,,,,LIEGE,1.0,WISEMAN,,31.0,,11.0,1.0,3.0,,13.0,,11.0,32.0,,2.0,,,,11.0,2,0,0,0,13:00:00-13:59:00,2017,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,293621.62,5043460.884,A,1,N,N,45.53097,-73.64312
SPVM _ 2013 _ 17064,JE,2013/01/03,66023.0,10807.0,,,MILLEN,1.0,GOUIN E,10.0,31.0,,16.0,3.0,2.0,,14.0,,11.0,33.0,,5.0,,,S,17.0,2,0,0,0,13:00:00-13:59:00,2013,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,291596.5625,5046381.329,A,1,N,N,45.55722,-73.66912
SPVM _ 2019 _ 3146,VE,2019/01/25,66023.0,1375.0,,,LOUVAIN,,,,31.0,,,,3.0,,22.0,,,,,,,,,,2,0,0,0,Non précisé,2019,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,292179.61,5043678.423,A,1,O,N,45.53291,-73.66158
SPVM _ 2016 _ 10123,DI,2016/12/25,66023.0,,,,ONTARIO E,1.0,BD PIE IX,,31.0,,11.0,3.0,3.0,,13.0,1.0,11.0,32.0,6.0,5.0,,,,11.0,2,0,0,1,16:00:00-16:59:00,2016,1,Léger,Montréal(06),Montréal (66 ),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,301583.6,5045605.083,A,1,N,N,45.55035,-73.54119
SPVM _ 2017 _ 7693,VE,2017/08/18,66023.0,1227.0,,,DE LA MONTAGNE,,,,31.0,,11.0,3.0,3.0,,13.0,,11.0,34.0,,2.0,,,O,11.0,3,0,0,0,20:00:00-20:59:00,2017,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,299039.00383,5039706.3523,A,1,N,N,45.49726,-73.57371
SPVM _ 2017 _ 21355,MA,2017/04/18,66023.0,13231.0,,,N-D E,2.0,FACE AU,,31.0,,11.0,1.0,2.0,,13.0,1.0,11.0,33.0,9.0,3.0,,,O,11.0,2,0,0,1,08:00:00-08:59:00,2017,1,Léger,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,305435.027,5057398.015,A,1,N,N,45.65647,-73.49185
SPVM _ 2012 _ 27409,ME,2012/09/19,66023.0,,,,BELANGER,1.0,L ASSOMPTION,,31.0,,11.0,1.0,2.0,,13.0,1.0,11.0,32.0,6.0,3.0,,,O,11.0,2,0,0,1,12:00:00-12:59:00,2012,1,Léger,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,298923.166,5048769.849,A,1,N,N,45.57881,-73.5753
SPVM _ 2014 _ 16868,LU,2014/10/27,66023.0,,,,MAURICE DUPLESSIS,1.0,LANGELIER,,31.0,,11.0,1.0,3.0,,13.0,1.0,11.0,32.0,,3.0,,,,11.0,3,0,0,2,16:00:00-16:59:00,2014,2,Léger,Montréal(06),Montréal (66 ),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,295854.1,5053031.218,A,1,N,N,45.61712,-73.61471
SPVM _ 2017 _ 10160,VE,2017/11/03,66023.0,2805.0,,,CHARLEMAGNE,2.0,FACE,,31.0,,11.0,3.0,2.0,,14.0,,13.0,34.0,,1.0,,,S,11.0,2,0,0,0,23:00:00-23:59:00,2017,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,300616.45726,5045870.9808,A,1,N,N,45.55274,-73.55358
SPVM _ 2015 _ 4053,DI,2015/07/12,66023.0,6600.0,,,ST JACQUES,,,,31.0,,11.0,1.0,3.0,,21.0,,11.0,99.0,,,,,,11.0,2,0,0,0,10:00:00-10:59:00,2015,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,294941.509,5035621.938,A,1,O,N,45.46046,-73.62606
SPVM _ 2014 _ 5532,MA,2014/02/18,66023.0,4710.0,,,ST AMBROISE,1.0,COURCELLE,75.0,31.0,,16.0,1.0,4.0,,13.0,1.0,21.0,33.0,6.0,2.0,,,O,17.0,2,0,0,1,15:00:00-15:59:00,2014,1,Léger,Montréal(06),Montréal (66 ),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,298112.48707,5036772.5971,A,1,N,N,45.47085,-73.58553
SPVM _ 2014 _ 2783,MA,2014/10/14,66023.0,745.0,,,ESTHER BLONDIN,,,,31.0,,11.0,1.0,1.0,,13.0,,11.0,33.0,,3.0,,,,11.0,2,0,0,0,10:00:00-10:59:00,2014,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,290698.7,5033572.5,A,1,N,N,45.44194,-73.68025
SPVM _ 2018 _ 3974,MA,2018/01/16,66023.0,,,,MAISONNEUVE O,1.0,GREY,,31.0,,16.0,1.0,3.0,,13.0,,11.0,32.0,,3.0,,,,11.0,2,0,0,0,13:00:00-13:59:00,2018,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,296729.59,5037235.521,A,1,N,N,45.475,-73.60322
SPVM _ 2013 _ 7979,SA,2013/05/18,66023.0,8080.0,,,CHAMPLAIN,2.0,TIM HORTON,5.0,31.0,,11.0,3.0,3.0,,13.0,1.0,11.0,40.0,6.0,3.0,,,,11.0,2,0,0,0,21:00:00-21:59:00,2013,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,296040.688,5031858.088,A,1,O,N,45.4266,-73.61194
SPVM _ 2014 _ 6614,LU,2014/12/01,66023.0,1100.0,,,HICKSON,1.0,COOL,15.0,31.0,,11.0,3.0,4.0,,14.0,,11.0,33.0,,1.0,,,S,11.0,3,0,0,0,16:00:00-16:59:00,2014,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,298811.9,5036157.0,A,1,N,N,45.46532,-73.57658
SPVM _ 2019 _ 8294,DI,2019/07/28,66023.0,,,,SHERBROOKE,1.0,CHAPLEAU,,31.0,,11.0,3.0,3.0,,12.0,1.0,11.0,33.0,,3.0,,,,11.0,2,0,0,1,22:00:00-22:59:00,2019,1,Léger,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,299989.189,5043925.6,A,1,N,N,45.53523,-73.5616
SPVM _ 2019 _ 18367,DI,2019/11/03,66023.0,6680.0,,,SHERBROOKE,,,,31.0,,11.0,2.0,3.0,,21.0,,11.0,99.0,,,,,,11.0,2,0,0,0,18:00:00-18:59:00,2019,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,301478.34281,5049299.3465,A,1,O,N,45.58359,-73.54257
SPVM _ 2019 _ 5552,VE,2019/05/17,66023.0,,,,ST PATRICK,1.0,VOIE LOCE O D ATWATER,,31.0,,11.0,1.0,4.0,,14.0,,11.0,32.0,,3.0,,,,11.0,2,0,0,0,12:00:00-12:59:00,2019,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,298898.646,5037442.974,A,1,N,N,45.47689,-73.57548
SPVM _ 2015 _ 38,JE,2015/01/22,66023.0,3882.0,,,BD ST CHARLES,1.0,ANTOINE FAUCON,10.0,31.0,,12.0,1.0,3.0,,13.0,1.0,11.0,33.0,6.0,5.0,,,,11.0,3,0,0,1,16:00:00-16:59:00,2015,1,Léger,Montréal(06),Montréal (66 ),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,276073.3,5035771.598,A,1,N,N,45.46128,-73.86733
SPVM _ 2017 _ 13795,SA,2017/04/22,66023.0,,,,JANY,,PAPINEAU,,31.0,,,3.0,3.0,,13.0,,11.0,,,3.0,,,,,2,0,0,0,04:00:00-04:59:00,2017,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,295507.749,5045930.996,A,1,N,N,45.55323,-73.61901
SPVM _ 2015 _ 3582,ME,2015/10/07,66023.0,1505.0,,,LEGENDRE,,,50.0,,,11.0,1.0,3.0,,19.0,,11.0,99.0,,9.0,,,N,11.0,2,0,0,0,08:00:00-08:59:00,2015,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,292747.45,5043473.67,A,1,O,N,45.53108,-73.65431
SPVM _ 2014 _ 8091,SA,2014/07/26,66023.0,,,,RENE LEVESQUE,1.0,HOTEL DE VILLE,,31.0,,11.0,3.0,3.0,,13.0,,12.0,32.0,,3.0,,,E,11.0,2,0,0,0,23:00:00-23:59:00,2014,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,300118.3,5041197.569,A,1,N,N,45.51068,-73.55992
SPVM _ 2012 _ 17139,JE,2012/02/16,66023.0,10240.0,,,LAVERDURE,,,,31.0,,,,,,,,,,,,,,,,2,0,0,0,Non précisé,2012,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,292071.58167,5045572.7903,A,1,N,N,45.54995,-73.66302
SPVM _ 2017 _ 16215,JE,2017/09/14,66023.0,1217.0,,,MT ROYAL E,2.0,FACE,,33.0,,11.0,3.0,3.0,,14.0,,11.0,33.0,,2.0,,,N,11.0,2,0,0,0,21:00:00-21:59:00,2017,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,298666.298,5043203.588,A,1,N,N,45.52872,-73.57853
SPVM _ 2013 _ 13043,JE,2013/01/31,66023.0,,,,ONTARIO,,DORION,,31.0,,,,3.0,,13.0,,,,,,,,,11.0,2,0,0,0,14:00:00-14:59:00,2013,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,300238.235,5043010.189,A,1,N,N,45.52699,-73.5584
SPVM _ 2014 _ 14683,SA,2014/04/05,66023.0,,,,PARC,1.0,LABADIE,,31.0,,12.0,2.0,3.0,,13.0,,11.0,32.0,,3.0,,,,14.0,2,0,0,0,Non précisé,2014,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,297248.2,5042236.074,A,1,N,N,45.52,-73.59667
SPVM _ 2015 _ 10592,VE,2015/03/06,66023.0,,,,DECARIE,1.0,QUEEN MARY,,31.0,,16.0,1.0,3.0,,13.0,,11.0,32.0,,1.0,,,,11.0,2,0,0,0,07:00:00-07:59:00,2015,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,294711.5,5038217.903,A,1,N,O,45.48381,-73.62905
SPVM _ 2012 _ 21711,ME,2012/12/05,66023.0,,,,ROSEMONT,1.0,CHAMBORD,,31.0,,11.0,1.0,3.0,,14.0,,11.0,32.0,,3.0,,,,11.0,2,0,0,0,11:00:00-11:59:00,2012,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,297526.69599,5044121.086,A,1,N,N,45.53697,-73.59313
SPVM _ 2012 _ 21618,DI,2012/11/04,66023.0,6212.0,,,ST LAURENT,,,5.0,,,12.0,3.0,3.0,,16.0,,11.0,99.0,,1.0,,,N,12.0,1,0,0,0,02:00:00-02:59:00,2012,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,296635.047,5043168.884,A,1,O,N,45.52839,-73.60453
SPVM _ 2012 _ 25613,SA,2012/04/14,66023.0,,,,NOBEL,1.0,COUTURE,,,,,,,,,,,,,,,,,,2,0,0,0,02:00:00-02:59:00,2012,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,296802.59401,5051396.5,A,1,N,N,45.60243,-73.60252
SPVM _ 2014 _ 13874,JE,2014/01/23,66023.0,6206.0,,,BORDEAUX,2.0,BELLECHASSE,5.0,31.0,,,,2.0,,14.0,,11.0,32.0,,1.0,,,N,,4,0,0,0,Non précisé,2014,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,297638.7,5044827.588,A,2,N,N,45.54333,-73.59171
SPVM _ 2012 _ 23915,VE,2012/01/13,66023.0,11511.0,,,LACORDAIRE,1.0,RENOIR,20.0,31.0,,16.0,3.0,2.0,,14.0,,11.0,33.0,,3.0,,,N,17.0,2,0,0,0,Non précisé,2012,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50.0,295276.7065,5052102.837,A,1,N,N,45.60876,-73.62209
SPVM _ 2014 _ 2865,SA,2014/12/20,66023.0,,,,48E AV,1.0,RENE HUGUET,5.0,31.0,,17.0,1.0,1.0,,14.0,,11.0,32.0,,2.0,,,S,11.0,2,0,0,0,10:00:00-10:59:00,2014,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,288386.2,5033534.0,A,1,N,N,45.44155,-73.70981
SPVM _ 2018 _ 5459,DI,2018/09/02,66023.0,1472.0,,,SHEVCHENKO,,,,49.0,,11.0,1.0,3.0,,21.0,,11.0,40.0,,9.0,,,,11.0,1,0,0,0,15:00:00-15:59:00,2018,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,295214.72728,5032362.7231,A,1,O,N,45.43113,-73.6225
SPVM _ 2015 _ 16814,MA,2015/07/14,66023.0,,,,LANGELIER,1.0,LEGER,,31.0,,11.0,1.0,3.0,,13.0,1.0,11.0,32.0,6.0,2.0,,,,11.0,2,0,0,1,11:00:00-11:59:00,2015,1,Léger,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,295314.3,5053739.221,A,1,N,N,45.62349,-73.62164
SPVM _ 2013 _ 14571,JE,2013/10/10,66023.0,,,,PIE IX,1.0,ONTARIO,50.0,31.0,,11.0,1.0,2.0,,14.0,,11.0,33.0,,3.0,,,N,11.0,2,0,0,0,Non précisé,2013,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50.0,301583.58499,5045605.083,A,2,N,N,45.55035,-73.54119
SPVM _ 2014 _ 13141,SA,2014/06/28,66023.0,,,,CREMAZIE,1.0,CHRISTOPHE COLOMB,,31.0,,11.0,3.0,3.0,,13.0,1.0,11.0,32.0,6.0,4.0,,,,11.0,2,0,0,2,22:00:00-22:59:00,2014,2,Léger,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,294694.1,5045595.684,A,1,N,O,45.5502,-73.62943
SPVM _ 2016 _ 21203,JE,2016/09/08,66023.0,12400.0,,,INDUSTRIEL FACE,,,10.0,31.0,,12.0,1.0,4.0,,14.0,,11.0,34.0,,3.0,,,N,12.0,2,0,0,0,08:00:00-08:59:00,2016,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,303380.63772,5056576.6446,A,1,N,N,45.64908,-73.51821
SPVM _ 2014 _ 13378,JE,2014/10/30,66023.0,,,,PAPINEAU,1.0,VILLERAY,,31.0,,11.0,1.0,3.0,,13.0,1.0,11.0,32.0,6.0,3.0,,,,11.0,2,0,0,2,10:00:00-10:59:00,2014,2,Léger,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,295854.9,5045713.134,A,1,N,N,45.55127,-73.61456
SPVM _ 2017 _ 7990,ME,2017/12/06,66023.0,721.0,,,VIGER O,,,,31.0,,12.0,3.0,3.0,,13.0,,11.0,33.0,,1.0,,,,16.0,1,0,0,0,00:00:00-00:59:00,2017,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,299819.05735,5040138.5883,A,1,N,N,45.50115,-73.56374
SPVM _ 2016 _ 7474,SA,2016/07/30,66023.0,1326.0,,,N-D O,,EN FACE,,31.0,,11.0,1.0,2.0,,14.0,,11.0,33.0,,2.0,,,,11.0,2,0,0,0,14:00:00-14:59:00,2016,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,299709.50273,5039178.2202,A,1,N,N,45.49251,-73.56513
SPVM _ 2012 _ 576,ME,2012/11/28,66023.0,390.0,,,AIME LECAVALIER,,,,50.0,,12.0,3.0,2.0,,14.0,1.0,11.0,33.0,6.0,2.0,,,,12.0,2,0,0,1,17:00:00-17:59:00,2012,1,Léger,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,275289.415,5039224.643,A,1,N,O,45.49232,-73.87756
